Skyline College,,,,Open Classes,Fall 2022,-,,,,,,8/6/2022,4:34:04,AM,
94914,ACTG,670,AAH,Accounting Work Experience,08/17-12/17,,-,"Zhang, Hellen Li Tian",2,,2-TBA,0,,,
91871,ADAP,358,AA,Adapted Strength Development,08/18-12/08,TR,1245 - 1400,"Marquez, Rachelle L",1,1,2-03,3102,,,
91876,ADAP,359,AV,Balance/Functional Movement...,08/18-12/08,,-,"Marquez, Rachelle L",0.5,1,2-03,3102,,,
97359,ADMJ,100,AA,(CP1)Intro to Admin of Justice,08/17-12/09,MWF,1010 - 1100,"Aurilio, Steven L",3,,2-01,1304,,,
80014,ADMJ,100,OLH,Intro to Admin of Justice,08/17-12/17,,-,"Phipps, Kevin Edmund",3,3,2-ONLN,0,Y,,
95068,ADMJ,104,AX,Concepts of Criminal Law,08/17-12/09,MWF,1110 - 1200,"Aurilio, Steven L",3,,2-01,1304,,,
89549,ADMJ,108,OLH,Community Relations,08/17-12/17,,-,"Aurilio, Steven L",3,3,2-ONLN,0,Y,,
97495,ADMJ,120,AA,Criminal Investigation,08/17-12/09,MWF,0810 - 0900,"Aurilio, Steven L",3,,2-01,1304,,,
80020,ADMJ,123,OLH,Police Field Operations,08/17-12/17,,-,"Aurilio, Steven L",3,3,2-ONLN,0,Y,,
90581,ANTH,110,AA,Cultural Anthropology,08/18-12/08,TR,0935 - 1050,"Ulloa, John Christopher",3,3,2-07,7110,,,
96310,ANTH,110,OLH,Cultural Anthropology,08/17-12/17,,-,"Slicton, Lori Annette",3,,2-ONLN,0,Y,,
91211,ANTH,110,OMH,Cultural Anthropology,08/17-12/17,,-,"Slicton, Lori Annette",3,,2-ONLN,0,Y,,
,,,,,,,1,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
85702,ANTH,125,AA,Physical Anthropology,08/18-12/08,TR,1110 - 1225,"Cecil, Charles L.",3,3,2-12,120,,,
90208,ANTH,125,OLH,Physical Anthropology,08/17-12/17,,-,"Slicton, Lori Annette",3,3,2-ONLN,0,Y,,
94219,ANTH,127,AA,Physical Anthropology Lab,08/18-12/08,R,1400 - 1700,"Cecil, Charles L.",1,1,2-12,120,,,
92444,ANTH,155,OLH,Human Prehistory/Rise of Civil,08/17-12/17,,-,"Cecil, Charles L.",3,,2-ONLN,0,Y,,
93547,ANTH,165,OLH,Sex/Gender: Cross-Cultural Per,08/17-12/17,,-,"Slicton, Lori Annette",3,3,2-ONLN,0,Y,,
90582,ANTH,180,OLH,"Magic, Science & Religion",08/17-12/17,,-,"Slicton, Lori Annette",3,3,2-ONLN,0,Y,,
91914,ART,101,AA,History of Western Art I,08/18-12/08,TR,0935 - 1050,"Zarur, Kathy Yusuf",3,,2-01,1107,,,
97074,ART,101,OSH,History of Western Art I,10/17-12/17,,-,"Cunniff, Teresa A",3,,2-ONLN,0,Y,,
93109,ART,102,OLH,History of Western Art II,08/17-12/17,,-,"Takayama, Arthur Akira",3,3,2-ONLN,0,Y,,
90569,ART,115,AX,"Art, Music and Ideas",08/17-12/07,MW,0935 - 1050,"Takayama, Arthur Akira",3,3,2-01,1107,,,
97022,ART,117,AA,Art of Africa/African Diaspora,08/18-12/08,TR,1235 - 1350,"Zarur, Kathy Yusuf",3,,2-01,1107,,,
93120,ART,130,OLH,Art Appreciation,08/17-12/17,,-,"Ryan, Michael J",3,3,2-ONLN,0,Y,,
97505,ART,171,AA,Vis. Theory/Practice-B/W Photo,08/18-12/08,TR,1235 - 1325,"Takayama, Arthur Akira",3,,2-01,1304,,,
97505,ART,171,AA,Vis. Theory/Practice-B/W Photo,08/18-12/08,TR,1335 - 1450,"Takayama, Arthur Akira",3,,2-01,1304,,,
97073,ART,175,AX,Visual Theory/Practice:Ceramic,08/17-12/07,MW,1235 - 1325,"Schmierer, Tiffany D",3,,2-01,1103,,,
97073,ART,175,AX,Visual Theory/Practice:Ceramic,08/17-12/07,MW,1335 - 1450,"Schmierer, Tiffany D",3,,2-01,1103,,,
97506,ART,175,PA,Vis. Theor/Practc:Ceramic-PROM,08/17-12/07,MW,1235 - 1325,"Schmierer, Tiffany D",3,,2-01,1103,,,
97506,ART,175,PA,Vis. Theor/Practc:Ceramic-PROM,08/17-12/07,MW,1335 - 1450,"Schmierer, Tiffany D",3,,2-01,1103,,,
92579,ART,204,JX,Draw ing I,08/17-12/14,MW,1830 - 1920,"Staff,",3,3,2-01,1320,,,
92579,ART,204,JX,Draw ing I,08/17-12/14,MW,1930 - 2050,"Staff,",3,3,2-01,1320,,,
92580,ART,205,JX,Draw ing II,08/17-12/14,MW,1830 - 1920,"Staff,",3,3,2-01,1320,,,
92580,ART,205,JX,Draw ing II,08/17-12/14,MW,1930 - 2050,"Staff,",3,3,2-01,1320,,,
91690,ART,207,AX,Life Draw ing,08/17-12/07,MW,0935 - 1025,"Artola, Aya Ishibashi",3,3,2-01,1320,,,
91690,ART,207,AX,Life Draw ing,08/17-12/07,MW,1035 - 1150,"Artola, Aya Ishibashi",3,3,2-01,1320,,,
92575,ART,214,AA,Color,08/18-12/08,TR,1235 - 1325,"Bridenbaugh, Paul C",3,3,2-01,1303,,,
92575,ART,214,AA,Color,08/18-12/08,TR,1335 - 1450,"Bridenbaugh, Paul C",3,3,2-01,1303,,,
95732,ART,217,AX,Intermediate Life Draw ing,08/17-12/07,MW,0935 - 1025,"Artola, Aya Ishibashi",3,3,2-01,1320,,,
,,,,,,,2,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
95732,ART,217,AX,Intermediate Life Draw ing,08/17-12/07,MW,1035 - 1150,"Artola, Aya Ishibashi",3,3,2-01,1320,,,
85830,ART,221,AX,Painting I,08/18-12/08,TR,0935 - 1025,"David, Eileen Gail",3,3,2-01,1303,,,
85830,ART,221,AX,Painting I,08/18-12/08,TR,1035 - 1150,"David, Eileen Gail",3,3,2-01,1303,,,
85831,ART,222,AX,Painting II,08/18-12/08,TR,0935 - 1025,"David, Eileen Gail",3,3,2-01,1303,,,
85831,ART,222,AX,Painting II,08/18-12/08,TR,1035 - 1150,"David, Eileen Gail",3,3,2-01,1303,,,
96178,ART,222,OLH,Painting II,08/17-12/17,,-,"Bridenbaugh, Paul C",3,,2-ONLN,0,Y,,
96178,ART,222,OLH,Painting II,08/17-12/17,,-,"Bridenbaugh, Paul C",3,,,Y,,,
80057,ART,351,AX,Photography I,08/18-12/08,TR,0935 - 1025,"Takayama, Arthur Akira",3,3,2-01,1304,,,
80057,ART,351,AX,Photography I,08/18-12/08,TR,1035 - 1150,"Takayama, Arthur Akira",3,3,2-01,1304,,,
80059,ART,352,AX,Photography II,08/18-12/08,TR,0935 - 1025,"Takayama, Arthur Akira",3,3,2-01,1304,,,
80059,ART,352,AX,Photography II,08/18-12/08,TR,1035 - 1150,"Takayama, Arthur Akira",3,3,2-01,1304,,,
80061,ART,353,AX,Photography III,08/18-12/08,TR,0935 - 1025,"Takayama, Arthur Akira",3,3,2-01,1304,,,
80061,ART,353,AX,Photography III,08/18-12/08,TR,1035 - 1150,"Takayama, Arthur Akira",3,3,2-01,1304,,,
80063,ART,354,OXH,Color Photography I,08/17-12/17,,-,"Jones, Dianne M.",3,3,2-ONLN,0,Y,,
80065,ART,355,OXH,Color Photography II,08/17-12/17,,-,"Jones, Dianne M.",3,3,2-ONLN,0,Y,,
80068,ART,405,AX,Sculpture I,08/17-12/07,MW,1235 - 1325,"Cunniff, Teresa A",3,3,2-01,1123,,,
80068,ART,405,AX,Sculpture I,08/17-12/07,MW,1335 - 1450,"Cunniff, Teresa A",3,3,2-01,1123,,,
80070,ART,406,AX,Sculpture II,08/17-12/07,MW,1235 - 1325,"Cunniff, Teresa A",3,3,2-01,1123,,,
80070,ART,406,AX,Sculpture II,08/17-12/07,MW,1335 - 1450,"Cunniff, Teresa A",3,3,2-01,1123,,,
80074,ART,411,AX,Ceramics I,08/18-12/08,TR,1235 - 1325,"Schmierer, Tiffany D",3,3,2-01,1103,,,
80074,ART,411,AX,Ceramics I,08/18-12/08,TR,1335 - 1450,"Schmierer, Tiffany D",3,3,2-01,1103,,,
91687,ART,412,AX,Ceramics II,08/18-12/08,TR,1235 - 1325,"Schmierer, Tiffany D",3,3,2-01,1103,,,
91687,ART,412,AX,Ceramics II,08/18-12/08,TR,1335 - 1450,"Schmierer, Tiffany D",3,3,2-01,1103,,,
80079,ART,412,JX,Ceramics II,08/18-12/15,TR,1800 - 1850,"Schmierer, Tiffany D",3,3,2-01,1103,,,
80079,ART,412,JX,Ceramics II,08/18-12/15,TR,1900 - 2015,"Schmierer, Tiffany D",3,3,2-01,1103,,,
91688,ART,417,AX,Ceramic Glazing Techniques,08/18-12/08,TR,1235 - 1325,"Schmierer, Tiffany D",3,3,2-01,1103,,,
91688,ART,417,AX,Ceramic Glazing Techniques,08/18-12/08,TR,1335 - 1450,"Schmierer, Tiffany D",3,3,2-01,1103,,,
,,,,,,,3,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
80082,ART,417,JX,Ceramic Glazing Techniques,08/18-12/15,TR,1800 - 1850,"Schmierer, Tiffany D",3,3,2-01,1103,,,
80082,ART,417,JX,Ceramic Glazing Techniques,08/18-12/15,TR,1900 - 2015,"Schmierer, Tiffany D",3,3,2-01,1103,,,
94162,ART,418,AX,Ceramics III,08/18-12/08,TR,1235 - 1325,"Schmierer, Tiffany D",3,3,2-01,1103,,,
94162,ART,418,AX,Ceramics III,08/18-12/08,TR,1335 - 1450,"Schmierer, Tiffany D",3,3,2-01,1103,,,
94167,ART,418,JX,Ceramics III,08/18-12/15,TR,1800 - 1850,"Schmierer, Tiffany D",3,3,2-01,1103,,,
94167,ART,418,JX,Ceramics III,08/18-12/15,TR,1900 - 2015,"Schmierer, Tiffany D",3,3,2-01,1103,,,
96993,ART,430,OLH,Introduction to Digital Art,08/17-12/17,,-,"Esfahani, Amir S",3,,2-ONLN,0,Y,,
96995,ART,431,OXH,Digital Imaging I: Photoshop,08/17-12/17,,-,"Sanchez, Samuel T",3,,2-ONLN,0,Y,,
96994,ART,432,OXH,Digital Imaging II: Adv. PS,08/17-12/17,,-,"Sanchez, Samuel T",3,,2-ONLN,0,Y,,
96183,ART,440,OLH,Introduction to Web Design,08/17-12/17,,-,"Esfahani, Amir S",3,,2-ONLN,0,Y,,
91102,ART,665SF,HA,Gallery Practicum,08/17-12/09,F,1010 - 1125,"Esfahani, Amir S",1,,2-ONLN,0,Y,,
91102,ART,665SF,HA,Gallery Practicum,08/17-12/09,,-,"Esfahani, Amir S",1,,2-ONLN,0,Y,,
95492,ASL,100,AA,American Sign Language I,08/18-12/08,TR,0935 - 1200,"Meng, Qing",5,,2-08,8117,,,
97410,ASL,100,HJ,American Sign Language I,08/17-12/17,M,1830 - 2055,"Wong, William Wai L",5,,2-08,8117,Y,,
97410,ASL,100,HJ,American Sign Language I,08/17-12/17,,-,"Wong, William Wai L",5,,2-ONLN,0,Y,,
97476,ASL,110,OLH,American Sign Language II,08/17-12/17,,-,"Raw son, David Wayne",5,,2-ONLN,0,Y,,
97691,ASTR,100,AA,Introduction To Astronomy,08/18-12/08,TR,1110 - 1225,"Lopez-Thibodeaux, Mayra",3,,2-08,8304,,,
97692,ASTR,101,JA,Astronomy Laboratory,08/18-12/15,R,1610 - 1900,"Lopez-Thibodeaux, Mayra",1,,2-12,134,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,08/12-08/12,F,1433 - 1530,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,08/15-08/15,M,1433 - 1530,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,08/19-09/02,MF,1433 - 1530,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,09/09-10/07,MF,1433 - 1530,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,10/14-11/07,MF,1433 - 1530,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,11/14-11/18,MF,1433 - 1530,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,11/28-12/19,MF,1433 - 1530,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,08/11-08/11,R,1439 - 1530,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,12/17-12/17,S,1234 - 1410,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
,,,,,,,4,of,38,,,,,,
,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,Bldg,Room,,,
,,,,,,,,,,,Based,Asst,Comm,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,08/09-08/09,T,1230 - 1320,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,08/16-08/16,T,1439 - 1530,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,08/18-09/20,TR,1439 - 1530,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,09/22-11/17,TR,1439 - 1530,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,11/29-12/22,TR,1439 - 1530,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,08/10-08/24,W,1325 - 1415,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,09/07-10/05,W,1325 - 1415,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,10/12-10/12,W,1325 - 1415,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,10/19-11/16,W,1325 - 1415,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96779,AUTO,509.1,QCH,Auto Fundamentals for HS,11/30-12/21,W,1325 - 1415,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,08/12-08/12,F,1330 - 1427,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,08/15-08/15,M,1330 - 1427,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,08/19-09/02,MF,1330 - 1427,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,09/09-10/07,MF,1330 - 1427,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,10/14-11/07,MF,1330 - 1427,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,11/14-11/18,MF,1330 - 1427,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,11/28-12/19,MF,1330 - 1427,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,08/11-08/11,R,1342 - 1433,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,12/17-12/17,S,1022 - 1158,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,08/09-08/09,T,1144 - 1234,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,08/16-08/16,T,1342 - 1433,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,08/18-09/20,TR,1342 - 1433,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,09/22-11/17,TR,1342 - 1433,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,11/29-12/22,TR,1342 - 1433,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,08/10-08/24,W,1232 - 1322,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,09/07-10/05,W,1232 - 1322,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,10/12-10/12,W,1232 - 1322,"Behravesh, Kalon Richard",2.5,2-TERA,0,,,
,,,,,,,5,of,38,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,10/19-11/16,W,1232 - 1322,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96781,AUTO,509.1,QEH,Auto Fundamentals for HS,11/30-12/21,W,1232 - 1322,"Behravesh, Kalon Richard",2.5,,2-TERA,0,,,
96636,AUTO,520,JA,Automotive Braking Systems,08/18-12/15,TR,1830 - 1945,"LaRocca, Samuel Christoph",4.5,,2-08,8103,,,
96636,AUTO,520,JA,Automotive Braking Systems,08/18-12/15,TR,1955 - 2110,"LaRocca, Samuel Christoph",4.5,,2-08,8103,,,
96637,AUTO,523,HL,Auto Electrical/Electronic Sys,08/17-12/14,M,1835 - 2140,"Gleyzer, Filipp Pavlovich",4.5,,2-10,4,Y,,
96637,AUTO,523,HL,Auto Electrical/Electronic Sys,08/17-12/14,W,1830 - 2140,"Gleyzer, Filipp Pavlovich",4.5,,2-ONLN,0,Y,,
97350,AUTO,580,HS,Careers in Automotive Tech,08/19-09/23,F,1400 - 1535,"Moore, Donald Floyd",1,,2-ONLN,0,Y,,
97350,AUTO,580,HS,Careers in Automotive Tech,10/07-10/07,F,1400 - 1535,"Moore, Donald Floyd",1,,2-ONLN,0,Y,,
97350,AUTO,580,HS,Careers in Automotive Tech,09/30-09/30,F,1400 - 1700,"Moore, Donald Floyd",1,,2-08,8103,Y,,
96944,AUTO,665S9,YSH,2021 Smog Check Update,09/17-09/20,T,1800 - 2200,"Escalambre, Richard L",1,,2-ONLN,0,,,
96944,AUTO,665S9,YSH,2021 Smog Check Update,09/17-09/20,US,0900 - 1500,"Escalambre, Richard L",1,,2-ONLN,0,,,
97588,AUTO,667SA,SSH,2023 Smog Check Update,11/19-11/20,US,0900 - 1700,"Escalambre, Richard L",1,,2-08,8203,,,
84510,AUTO,670,AAH,Automotive Work Experience,08/17-12/09,,-,"Johnson, Julia Christine",1,1,2-TBA,0,,,
86464,AUTO,713,HA,Electricity/Electronics,08/17-12/09,M,0800 - 1330,"Gleyzer, Filipp Pavlovich",15,15,2-10,4,Y,,
86464,AUTO,713,HA,Electricity/Electronics,08/17-12/09,R,0800 - 1330,"Gleyzer, Filipp Pavlovich",15,15,2-ONLN,0,Y,,
86464,AUTO,713,HA,Electricity/Electronics,08/17-12/09,T,0800 - 1330,"Gleyzer, Filipp Pavlovich",15,15,2-10,4,Y,,
86464,AUTO,713,HA,Electricity/Electronics,08/17-12/09,W,0800 - 1330,"Gleyzer, Filipp Pavlovich",15,15,2-ONLN,0,Y,,
83192,AUTO,721,AA,"Steering, Suspension & Brakes",08/17-12/08,MTWR,0800 - 1040,"Yee, Edmund",15,15,2-08,8103,,,
83192,AUTO,721,AA,"Steering, Suspension & Brakes",08/17-12/08,MTWR,1050 - 1315,"Yee, Edmund",15,15,2-09,,,,
80111,AUTO,734,HA,Auto Engine Diagnosis & Repair,08/17-12/09,M,0800 - 1405,"Johnson, Julia Christine",15,15,2-ONLN,0,Y,,
80111,AUTO,734,HA,Auto Engine Diagnosis & Repair,08/17-12/09,T,0800 - 1325,"Johnson, Julia Christine",15,15,2-10,2,Y,,
80111,AUTO,734,HA,Auto Engine Diagnosis & Repair,08/17-12/09,WR,0800 - 1305,"Johnson, Julia Christine",15,15,2-10,3,Y,,
86508,AUTO,735,HA,Transmissions and Drivelines,08/17-12/09,F,0800 - 1350,"Broxholm, Thomas G.",15,15,2-ONLN,0,Y,,
86508,AUTO,735,HA,Transmissions and Drivelines,08/17-12/09,R,0800 - 1305,"Broxholm, Thomas G.",15,15,2-11,101,Y,,
86508,AUTO,735,HA,Transmissions and Drivelines,08/17-12/09,T,0800 - 1335,"Broxholm, Thomas G.",15,15,2-11,107,Y,,
86508,AUTO,735,HA,Transmissions and Drivelines,08/17-12/09,W,0800 - 1305,"Broxholm, Thomas G.",15,15,2-11,107,Y,,
97262,AUTO,752,HA,Advanced Engine Performance,08/17-12/09,M,0800 - 1350,"Parra, Ruben",15,,2-ONLN,0,Y,,
,,,,,,,6,of,38,,,,,,
,,,,,,,,,,,,Web,Web,Hybrid,Learn
CRN,Subj,Crse,Sec,Title,Dates,Days,Time,Instructor,Units,,Bldg,Room,,,
,,,,,,,,,,,,Based,Asst,Comm,
97262,AUTO,752,HA,Advanced Engine Performance,08/17-12/09,T,0800 - 1335,"Parra, Ruben",15,,2-ONLN,0,Y,,
97262,AUTO,752,HA,Advanced Engine Performance,08/17-12/09,WR,0800 - 1310,"Parra, Ruben",15,,2-08,8202,Y,,
96775,AUTO,920,PX,Auto Braking Sys (Apprentice),08/18-12/15,TR,1830 - 1945,"LaRocca, Samuel Christoph",4.5,,2-08,8103,,,
96775,AUTO,920,PX,Auto Braking Sys (Apprentice),08/18-12/15,TR,1955 - 2110,"LaRocca, Samuel Christoph",4.5,,2-08,8103,,,
97129,AUTO,923,PX,Auto Electrical/Electronic Sys,08/17-12/14,M,1835 - 2140,"Gleyzer, Filipp Pavlovich",4.5,,2-10,4,,,
97129,AUTO,923,PX,Auto Electrical/Electronic Sys,08/17-12/14,W,1830 - 2140,"Gleyzer, Filipp Pavlovich",4.5,,2-ONLN,0,,,
97684,BARB,701,HA,Barbering Fundamental Concepts,08/18-12/16,RF,1600 - 2200,"Staff,",6,,2-04,201B,Y,,
97684,BARB,701,HA,Barbering Fundamental Concepts,08/18-12/16,,-,"Staff,",6,,2-ONLN,0,Y,,
97685,BARB,702,HA,BARB Techniques/Hair Design,08/22-12/13,MT,1600 - 2200,"Lopez, Elias Jovany",6,,2-04,201B,Y,,
97685,BARB,702,HA,BARB Techniques/Hair Design,08/22-12/13,,-,"Lopez, Elias Jovany",6,,2-ONLN,0,Y,,
97686,BARB,703,HA,Barbering Chemical Concepts,08/17-12/14,W,1600 - 2200,"Pulido, Jason",3,,2-04,201B,Y,,
97686,BARB,703,HA,Barbering Chemical Concepts,08/17-12/14,,-,"Pulido, Jason",3,,2-ONLN,0,Y,,
88247,BCM.,101,ZJH,Computer Keyboard Skill Build,10/17-10/17,M,1800 - 2105,"Corzonkoff, Barbara River",1.5,1.5,2-ONLN,0,,,
88247,BCM.,101,ZJH,Computer Keyboard Skill Build,10/17-12/10,,-,"Corzonkoff, Barbara River",1.5,1.5,2-ONLN,0,,,
90487,BCM.,200,OLH,Intro to Computer Applications,08/17-12/17,,-,"Beltran, Herlene Grace H",3,3,2-ONLN,0,Y,,
88295,BCM.,225,OLH,Spreadsheet I: Excel,08/17-09/24,,-,"Motipara, Sita",1,1,2-ONLN,0,Y,,
89199,BCM.,226,OSH,Spreadsheet II: Excel,09/26-12/17,,-,"Motipara, Sita",2,2,2-ONLN,0,Y,,
97507,BIOL,101,AA,Our Biological World,08/17-12/09,MWF,1010 - 1100,"Song, Michael Joon Byung",4,,2-08,8302,,,
97507,BIOL,101,AA,Our Biological World,08/17-12/09,W,1310 - 1600,"Song, Michael Joon Byung",4,,2-07,7238,,,
97508,BIOL,101,AB,Our Biological World,08/17-12/09,F,1210 - 1510,"Song, Michael Joon Byung",4,,2-07,7238,,,
97508,BIOL,101,AB,Our Biological World,08/17-12/09,MWF,1010 - 1100,"Song, Michael Joon Byung",4,,2-08,8302,,,
80154,BIOL,110,HB,Principles of Biology,08/17-12/09,T,1210 - 1450,"Bookstaff, Shari Ruth",4,,2-07,7238,Y,,
80154,BIOL,110,HB,Principles of Biology,08/17-12/09,,-,"Bookstaff, Shari Ruth",4,,2-ONLN,0,Y,,
97784,BIOL,110,ZAH,Principles Of Biology,08/17-12/17,W,1310 - 1550,"Bookstaff, Shari Ruth",4,,2-ONLN,0,,,
97784,BIOL,110,ZAH,Principles Of Biology,08/17-12/17,,-,"Bookstaff, Shari Ruth",4,,2-ONLN,0,,,
96680,BIOL,130,PA,Human Biology PROM,08/18-12/08,TR,0935 - 1050,"Kanaaneh, Jamil Mohammed 3",,,2-04,148,,,
